Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
20026,1.5,Premium,F,SI2,60.8,59.0,7.36,7.3,4.46,9408
18017,1.04,Premium,G,I1,62.2,58.0,6.46,6.41,4.0,2801
12072,0.56,Ideal,E,SI1,60.9,56.0,5.32,5.35,3.25,1580
14107,0.7,Premium,F,SI2,58.8,58.0,5.82,5.77,3.41,2234
15510,0.38,Ideal,G,VS2,61.5,57.0,4.66,4.68,2.87,840
1001,1.32,Premium,J,VS2,60.4,58.0,7.11,7.14,4.3,5800
21603,0.51,Ideal,F,VS2,62.8,57.0,5.1,5.06,3.19,1619
11196,0.31,Ideal,G,VVS1,62.0,55.0,4.34,4.37,2.7,789
18496,0.4,Very Good,F,SI1,61.7,62.0,4.71,4.76,2.92,717
6613,0.28,Ideal,G,VS1,62.1,55.0,4.22,4.25,2.63,490
17864,0.42,Ideal,G,IF,62.0,57.0,4.8,4.82,2.98,1251
25869,0.42,Ideal,F,VVS1,61.5,56.0,4.85,4.87,2.99,1223
22574,2.03,Ideal,J,SI1,62.6,55.0,8.06,8.1,5.06,13357
22047,1.26,Good,J,VS2,63.2,57.3,6.81,6.86,4.32,5211
1122,1.3,Ideal,G,SI2,61.9,57.0,7.01,6.95,4.32,5169
2314,0.3,Ideal,E,VVS1,61.3,57.0,4.32,4.36,2.66,1071
7137,1.0,Premium,F,I1,62.4,59.0,6.38,6.34,3.97,3405
24194,0.32,Ideal,I,VS2,62.9,57.0,4.4,4.37,2.76,576
1224,0.3,Good,G,VVS1,63.5,57.0,4.23,4.27,2.7,789
19381,1.12,Premium,J,SI2,60.6,59.0,6.68,6.61,4.03,2898
22626,1.1,Premium,H,SI2,59.2,59.0,6.8,6.74,4.01,3388
360,0.31,Ideal,E,IF,61.9,56.0,4.35,4.37,2.7,1060
1870,1.71,Fair,I,SI2,65.1,60.0,7.5,7.46,4.87,8800
14311,0.92,Good,F,SI2,64.2,58.0,6.11,6.14,3.93,3340
18962,0.53,Ideal,F,VS1,61.2,56.0,5.22,5.24,3.2,1830
1480,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,2797
22348,0.34,Very Good,D,VS2,60.0,59.0,4.5,4.56,2.72,730
11866,1.26,Premium,J,VS2,62.1,58.0,6.9,6.95,4.3,5015
18935,1.5,Premium,H,SI1,61.8,60.0,7.31,7.23,4.49,10567
11739,0.51,Ideal,D,SI1,,57.0,5.11,5.15,3.2,1548
22276,1.18,Ideal,G,VVS2,61.3,55.0,6.86,6.81,4.19,10308
15291,1.21,Premium,G,VS1,62.7,58.0,6.85,6.76,4.27,8774
13854,0.31,Very Good,J,SI2,63.3,58.0,4.35,4.34,2.75,430
16635,0.26,Very Good,F,VVS2,60.0,59.0,4.11,4.15,2.48,597
13941,0.44,Good,E,SI1,63.4,57.0,4.81,4.85,3.06,756
17382,0.4,Premium,F,VS1,62.5,57.0,4.72,4.69,2.94,1050
14008,1.2,Very Good,F,VS2,62.4,58.0,6.76,6.8,4.23,7114
24433,0.7,Very Good,G,SI1,63.3,61.0,5.6,5.55,3.53,2184
7867,0.31,Ideal,G,IF,60.7,58.0,4.37,4.41,2.67,871
17288,0.81,Ideal,H,SI2,63.0,57.0,5.94,5.9,3.73,2313
17631,0.9,Very Good,D,SI2,61.2,54.0,6.25,6.29,3.84,3975
18559,1.02,Ideal,D,SI2,61.4,56.0,6.42,6.57,3.99,4946
14430,1.53,Premium,H,VVS2,60.4,60.0,7.46,7.41,4.49,12092
9241,0.5,Ideal,E,VS2,,55.0,5.19,5.16,3.15,1768
12958,0.71,Good,I,SI1,64.2,57.0,5.59,5.57,3.58,1715
13175,1.51,Very Good,J,SI2,61.9,59.0,7.26,7.31,4.51,6546
3605,1.29,Ideal,G,VS2,61.3,57.0,6.99,7.07,4.31,9243
16100,0.76,Fair,D,SI2,55.5,69.0,6.16,6.07,3.39,2518
24292,1.06,Very Good,H,SI1,62.2,58.0,6.45,6.53,4.04,4878
12269,0.4,Premium,H,VS1,62.6,58.0,4.71,4.68,2.94,1035
16414,0.77,Ideal,D,VS2,61.8,56.0,5.9,5.84,3.63,3755
4095,0.72,Good,F,VS2,61.1,60.0,5.72,5.76,3.51,2705
13591,1.11,Premium,J,SI1,59.5,58.0,6.89,6.77,4.07,3524
3972,1.25,Very Good,H,SI2,63.2,60.0,6.87,6.81,4.32,4199
24006,0.53,Ideal,G,VS2,61.2,56.0,5.19,5.22,3.19,1577
11311,1.01,Very Good,E,SI1,63.1,55.0,6.41,6.34,4.02,4853
12026,1.66,Premium,J,VVS2,62.6,59.0,7.58,7.54,4.73,10062
9352,0.42,Premium,H,SI1,60.9,58.0,4.85,4.84,2.95,898
4036,0.77,Ideal,I,VS1,61.4,56.0,5.86,5.9,3.61,2635
9893,0.47,Ideal,I,VS2,62.1,54.0,4.99,5.03,3.11,884
4455,0.71,Premium,H,VS1,62.4,58.0,5.73,5.68,3.56,2572
5335,0.32,Ideal,G,VVS2,61.2,56.0,4.42,4.41,2.7,936
21244,0.3,Ideal,E,VVS1,60.5,57.0,4.34,4.39,2.64,895
7790,1.51,Premium,F,VS2,62.5,58.0,7.36,7.21,4.55,14294
2390,1.11,Ideal,G,VVS2,61.8,56.0,6.66,6.69,4.12,9734
17071,1.0,Ideal,F,VS1,61.7,55.0,6.42,6.39,3.95,7056
112,1.39,Premium,G,VS2,62.0,56.0,7.18,7.14,4.44,8874
15071,0.91,Ideal,F,SI1,62.3,56.0,6.16,6.19,3.85,4267
22580,1.01,Premium,F,SI1,63.0,58.0,6.33,6.29,3.98,4632
25862,0.4,Ideal,E,VVS2,62.2,56.0,4.78,4.71,2.95,1238
15481,1.01,Premium,H,SI2,62.5,58.0,6.39,6.35,3.98,3959
8451,0.3,Very Good,H,VS1,60.4,61.0,4.3,4.34,2.61,526
11494,0.74,Ideal,H,VS1,,56.0,5.81,5.82,3.58,2797
21899,1.0,Premium,G,VS1,61.9,60.0,6.39,6.31,3.93,5242
20569,0.4,Premium,H,VVS1,61.8,58.0,4.72,4.69,2.91,1088
17648,0.33,Ideal,E,SI1,62.4,56.0,4.41,4.43,2.76,579
13302,0.34,Premium,I,VVS1,60.5,59.0,4.48,4.54,2.73,626
12936,1.11,Premium,J,VS2,62.6,59.0,6.6,6.56,4.12,4265
23320,1.84,Premium,H,SI2,61.0,58.0,7.97,7.87,4.81,7922
6345,0.35,Ideal,E,VS2,62.0,55.0,4.52,4.54,2.81,767
1036,0.38,Premium,F,SI1,60.4,58.0,4.72,4.68,2.84,898
15031,0.54,Very Good,H,VS2,62.6,58.0,5.16,5.19,3.24,1338
25836,0.54,Ideal,F,SI2,61.8,56.0,5.26,5.29,3.26,1065
26196,0.55,Very Good,E,VS2,61.7,59.0,5.2,5.27,3.23,1629
7357,0.54,Ideal,G,VS1,62.0,53.9,5.22,5.24,3.24,1745
6529,2.0,Ideal,J,VS2,61.0,57.0,8.08,8.13,4.94,14323
1712,0.71,Good,G,SI1,63.6,56.0,5.65,5.67,3.6,2428
20261,0.71,Very Good,H,SI2,62.2,55.1,5.7,5.72,3.55,2339
26139,0.3,Ideal,F,VVS1,61.7,58.0,4.26,4.3,2.64,814
2559,0.7,Ideal,G,VS2,61.8,54.0,5.71,5.74,3.54,2593
21290,0.81,Ideal,F,SI2,62.6,55.0,5.92,5.96,3.72,2795
13788,0.42,Ideal,F,VVS2,62.2,56.0,4.82,4.79,2.99,1221
18591,0.5,Ideal,G,VS2,62.5,57.0,5.04,5.07,3.16,1449
26575,0.27,Ideal,F,VS1,,57.0,4.15,4.18,2.57,577
17671,1.0,Very Good,I,SI1,63.3,54.0,6.39,6.34,4.03,3640
25380,0.33,Very Good,E,SI2,60.0,59.0,4.47,4.49,2.69,463
20269,0.9,Good,G,IF,61.8,61.0,6.12,6.17,3.8,5855
2305,0.25,Very Good,E,VS2,63.3,56.0,4.01,4.05,2.55,436
5901,1.03,Ideal,E,SI1,62.0,53.0,6.5,6.47,4.02,5710
24488,0.3,Premium,E,VS2,62.1,59.0,4.29,4.27,2.66,844
23178,0.32,Ideal,E,VS1,61.8,55.0,4.4,4.43,2.73,758
2753,0.7,Very Good,E,SI1,61.5,56.0,5.74,5.8,3.55,2239
7593,0.33,Ideal,F,SI2,61.4,57.0,4.44,4.48,2.74,413
9021,2.1,Very Good,J,VS2,61.5,60.7,8.16,8.21,5.03,13340
19558,0.73,Fair,H,I1,66.2,56.0,5.62,5.46,3.69,1104
20807,1.52,Premium,E,SI2,62.0,62.0,7.2,7.13,4.44,8810
